;10;50;75;100;125;150;175;200;250;300;;cluster ratio
cluster-0;1.00;6.00;9.00;12.00;15.00;18.00;21.00;24.00;30.00;36.00;;0.119092628
cluster-1;1.00;6.00;9.00;12.00;15.00;18.00;22.00;25.00;31.00;37.00;;0.122873346
cluster-2;1.00;5.00;8.00;11.00;13.00;16.00;19.00;21.00;26.00;32.00;;0.105860113
cluster-3;3.00;13.00;19.00;26.00;32.00;39.00;45.00;52.00;65.00;78.00;;0.258979206
cluster-4;1.00;4.00;6.00;8.00;10.00;12.00;14.00;16.00;20.00;24.00;;0.079395085
cluster-5;2.00;9.00;14.00;18.00;23.00;27.00;32.00;36.00;45.00;54.00;;0.18147448
cluster-6;1.00;4.00;5.00;7.00;9.00;11.00;13.00;14.00;18.00;22.00;;0.071833648
cluster-7;1.00;3.00;5.00;6.00;8.00;9.00;11.00;12.00;15.00;18.00;;0.060491493
;11;50;75;100;125;150;177;200;250;301;;
